Species;Ref_meso
Lampetra fluviatilis;1
Petromyzon marinus;1
Anguilla anguilla;1
Alosa fallax;1
Rutilus rutilus;1
Osmerus eperlanus;1
Gasterosteus aculeatus;1
Gymnocephalus cernua;1
Perca fluviatilis;1
Sander lucioperca;1
Chelon ramada;1
Platichtys flesus;1
Pomatoschistus microps;1
Sprattus sprattus;1
Pleuronectes platessa;1
Pomatoschistus minutus;1
Trisopterus luscus;1
Dicentrarchus labrax;1
Pholis gunnellus;1
Aphia minuta;1
Syngnathus acus;1
Clupea harengus;1
Syngnathus rostellatus;1
Zoarces viviparus;1
Chelidonichthys lucernus;1
Liparis liparis;1
Solea solea;1
Merlangius merlangus;1
Ammodytes tobianus;1
Myoxocephalus scorpius;1
Salmo trutta;1
Ciliata mustela;1
Gadus morhua;1
