HalineZone;Metric;nClass;UpperBound;UpperBoundExcluded;Value
Oligo;ManSha;1;0,5;0;0,2
Oligo;ManSha;2;1;0;0,4
Oligo;ManSha;3;1,5;0;0,6
Oligo;ManSha;4;2;0;0,8
Oligo;ManSha;5;99999;0;1
Oligo;MpiInv;1;5;0;0,2
Oligo;MpiInv;2;10;0;0,4
Oligo;MpiInv;3;15;0;0,6
Oligo;MpiInv;4;20;0;0,8
Oligo;MpiInv;5;50;0;1
Oligo;MpiInv;6;75;0;0,8
Oligo;MpiInv;7;100;0;0,2
Oligo;MpiSpa;1;5;0;0,2
Oligo;MpiSpa;2;10;0;0,4
Oligo;MpiSpa;3;15;0;0,6
Oligo;MpiSpa;4;20;0;0,8
Oligo;MpiSpa;5;50;0;1
Oligo;MpiSpa;6;75;0;0,8
Oligo;MpiSpa;7;100;0;0,2
Oligo;MnsPis;1;0;0;0
Oligo;MnsPis;2;1;0;0,33
Oligo;MnsPis;3;2;0;0,66
Oligo;MnsPis;4;99999;0;1
MesoPoly;MnsTot;1;4;1;0
MesoPoly;MnsTot;2;6;1;0,25
MesoPoly;MnsTot;3;8;1;0,5
MesoPoly;MnsTot;4;10;1;0,75
MesoPoly;MnsTot;5;99999;1;1
MesoPoly;MpiMj;1;20;1;0
MesoPoly;MpiMj;2;30;1;0,2
MesoPoly;MpiMj;3;40;1;0,5
MesoPoly;MpiMj;4;55;1;0,8
MesoPoly;MpiMj;5;65;1;1
MesoPoly;MpiMj;6;80;1;0,8
MesoPoly;MpiMj;7;100;1;0,5
MesoPoly;MpiOmn;1;0;1;0
MesoPoly;MpiOmn;2;1,17;1;1
MesoPoly;MpiOmn;3;3,37;1;0,75
MesoPoly;MpiOmn;4;7,9;1;0,5
MesoPoly;MpiOmn;5;16,44;1;0,25
MesoPoly;MpiOmn;6;100;1;0
MesoPoly;MpiPis;1;5;1;0
MesoPoly;MpiPis;2;10;1;0,25
MesoPoly;MpiPis;3;15;1;0,5
MesoPoly;MpiPis;4;20;1;0,75
MesoPoly;MpiPis;5;90;1;1
MesoPoly;MpiPis;6;100;1;0
